Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,PlusGr,Age,Sex,Maturity,IndWgt,CANoAtLngt,DateofCalculation
EVHOE,1997,4,BB,126438,Merlangius merlangus,90,-9,0,U,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,100,-9,0,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,100,-9,0,U,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,110,-9,0,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,110,-9,0,U,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,120,-9,0,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,120,-9,0,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,120,-9,0,U,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,130,-9,0,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,130,-9,0,U,-9,,6,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,140,-9,0,F,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,140,-9,0,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,140,-9,0,U,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,150,-9,0,F,-9,,7,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,150,-9,0,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,150,-9,0,U,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,160,-9,0,F,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,160,-9,0,M,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,160,-9,0,U,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,170,-9,0,F,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,170,-9,0,M,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,170,-9,0,U,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,180,-9,0,F,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,180,-9,0,M,-9,,6,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,180,-9,0,U,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,190,-9,0,F,-9,,7,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,190,-9,0,M,-9,,8,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,190,-9,0,U,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,200,-9,0,F,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,200,-9,0,M,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,200,-9,0,U,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,210,-9,0,F,-9,,7,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,210,-9,0,M,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,210,-9,0,U,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,220,-9,0,F,-9,,6,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,220,-9,0,M,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,220,-9,0,U,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,230,-9,0,F,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,230,-9,0,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,230,-9,1,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,240,-9,0,F,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,240,-9,0,M,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,240,-9,1,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,250,-9,0,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,250,-9,0,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,260,-9,1,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,270,-9,1,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,270,-9,1,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,280,-9,1,M,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,290,-9,1,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,290,-9,1,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,300,-9,1,F,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,300,-9,1,M,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,310,-9,1,F,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,310,-9,1,M,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,310,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,320,-9,1,F,-9,,5,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,320,-9,1,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,320,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,330,-9,1,F,-9,,6,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,330,-9,1,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,330,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,340,-9,1,F,-9,,6,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,340,-9,1,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,340,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,350,-9,1,F,-9,,3,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,350,-9,2,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,360,-9,1,F,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,360,-9,2,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,370,-9,1,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,370,-9,2,F,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,370,-9,2,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,370,-9,3,M,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,380,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,390,-9,3,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,390,-9,3,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,400,-9,2,F,-9,,4,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,410,-9,2,F,-9,,2,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,410,-9,2,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,410,-9,4,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,420,-9,2,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,420,-9,4,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,430,-9,3,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,430,-9,3,M,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,470,-9,2,F,-9,,1,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,480,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,300,-9,1,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,350,-9,1,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,380,-9,1,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,390,-9,1,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,400,-9,1,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,440,-9,1,F,-9,,2,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,450,-9,1,M,-9,,2,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,460,-9,1,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,600,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,620,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,630,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,660,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,660,-9,2,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,670,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,680,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,700,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,710,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,710,-9,2,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,730,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,750,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,750,-9,3,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,760,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,790,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,800,-9,3,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,820,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,840,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,850,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,860,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,870,-9,3,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,870,-9,4,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,870,-9,4,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,880,-9,4,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,910,-9,4,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,910,-9,5,M,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,930,-9,5,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,960,-9,4,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1000,-9,5,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1070,-9,8,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1080,-9,8,F,-9,,1,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1130,-9,8,F,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,140,-9,0,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,140,-9,0,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,150,-9,0,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,150,-9,0,M,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,160,-9,0,F,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,160,-9,0,M,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,170,-9,0,F,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,170,-9,0,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,180,-9,0,F,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,180,-9,0,M,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,190,-9,0,F,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,190,-9,0,M,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,200,-9,0,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,200,-9,0,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,210,-9,0,F,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,210,-9,0,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,210,-9,1,F,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,210,-9,1,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,220,-9,0,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,220,-9,1,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,220,-9,1,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,230,-9,0,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,230,-9,1,F,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,230,-9,1,M,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,240,-9,1,F,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,240,-9,1,M,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,250,-9,1,F,-9,,7,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,250,-9,1,M,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,250,-9,2,M,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,260,-9,1,F,-9,,6,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,260,-9,1,M,-9,,4,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,260,-9,2,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,260,-9,3,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,270,-9,1,F,-9,,6,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,270,-9,1,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,270,-9,2,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,-9,1,F,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,-9,1,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,-9,2,F,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,-9,2,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,-9,3,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,-9,1,F,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,-9,2,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,-9,2,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,-9,3,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,-9,4,M,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,-9,1,F,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,-9,2,F,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,-9,2,M,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,-9,3,M,-9,,3,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,-9,4,M,-9,,2,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,310,-9,1,F,-9,,1,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,310,-9,2,F,-9,,5,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,310,-9,2,M,-9,,1,20140402
