Measure Names,reg_area_cod,species,year,Measure Values
discards,7BCEFGHJK,ANF,2003,2073.973
landings,7BCEFGHJK,ANF,2003,14697.9522
discards,7BCEFGHJK,ANF,2004,1048.377
landings,7BCEFGHJK,ANF,2004,16495.459401
discards,7BCEFGHJK,ANF,2005,1054.302
landings,7BCEFGHJK,ANF,2005,16489.859001
discards,7BCEFGHJK,ANF,2006,259.359
landings,7BCEFGHJK,ANF,2006,15972.8781
discards,7BCEFGHJK,ANF,2007,465.833
landings,7BCEFGHJK,ANF,2007,17988.3378
discards,7BCEFGHJK,ANF,2008,368.517
landings,7BCEFGHJK,ANF,2008,15660.2168
discards,7BCEFGHJK,ANF,2009,1478.956
landings,7BCEFGHJK,ANF,2009,16329.7896
discards,7BCEFGHJK,ANF,2010,1079.037125
landings,7BCEFGHJK,ANF,2010,17275.82071
discards,7BCEFGHJK,ANF,2011,1869.169049
landings,7BCEFGHJK,ANF,2011,21995.54889
discards,7BCEFGHJK,ANF,2012,3575.531846
landings,7BCEFGHJK,ANF,2012,21665.91153
discards,7BCEFGHJK,ANF,2013,2777.292656
landings,7BCEFGHJK,ANF,2013,27028.9142
discards,7BCEFGHJK,ANF,2014,2281.582944
landings,7BCEFGHJK,ANF,2014,28415.03158
discards,7BCEFGHJK,ANF,2015,2568.928606
landings,7BCEFGHJK,ANF,2015,28169.1247
discards,7BCEFGHJK,COD,2003,755.454
landings,7BCEFGHJK,COD,2003,4324.0202
discards,7BCEFGHJK,COD,2004,487.864
landings,7BCEFGHJK,COD,2004,2480.2945
discards,7BCEFGHJK,COD,2005,1100.866
landings,7BCEFGHJK,COD,2005,2309.673
discards,7BCEFGHJK,COD,2006,648.819
landings,7BCEFGHJK,COD,2006,2442.8644
discards,7BCEFGHJK,COD,2007,1191.447
landings,7BCEFGHJK,COD,2007,2487.2864
discards,7BCEFGHJK,COD,2008,197.536
landings,7BCEFGHJK,COD,2008,2094.3519
discards,7BCEFGHJK,COD,2009,1231.039774
landings,7BCEFGHJK,COD,2009,2303.23769
discards,7BCEFGHJK,COD,2010,1922.264121
landings,7BCEFGHJK,COD,2010,2940.75009
discards,7BCEFGHJK,COD,2011,6597.376383
landings,7BCEFGHJK,COD,2011,4713.94774
discards,7BCEFGHJK,COD,2012,1209.227097
landings,7BCEFGHJK,COD,2012,6974.28535
discards,7BCEFGHJK,COD,2013,821.980898
landings,7BCEFGHJK,COD,2013,6089.92568
discards,7BCEFGHJK,COD,2014,892.953767
landings,7BCEFGHJK,COD,2014,4013.611
discards,7BCEFGHJK,COD,2015,688.127304
landings,7BCEFGHJK,COD,2015,4257.72917
discards,7BCEFGHJK,HAD,2003,7859.928
landings,7BCEFGHJK,HAD,2003,5896.9286
discards,7BCEFGHJK,HAD,2004,8596.511
landings,7BCEFGHJK,HAD,2004,6412.2407
discards,7BCEFGHJK,HAD,2005,5045.214
landings,7BCEFGHJK,HAD,2005,5045.2359
discards,7BCEFGHJK,HAD,2006,4768.625
landings,7BCEFGHJK,HAD,2006,4111.559
discards,7BCEFGHJK,HAD,2007,3563.62
landings,7BCEFGHJK,HAD,2007,5028.9273
discards,7BCEFGHJK,HAD,2008,5059.129
landings,7BCEFGHJK,HAD,2008,5576.1572
discards,7BCEFGHJK,HAD,2009,6316.122409
landings,7BCEFGHJK,HAD,2009,7327.453
discards,7BCEFGHJK,HAD,2010,11887.802207
landings,7BCEFGHJK,HAD,2010,9503.3726
discards,7BCEFGHJK,HAD,2011,10537.862448
landings,7BCEFGHJK,HAD,2011,13309.09644
discards,7BCEFGHJK,HAD,2012,11046.367596
landings,7BCEFGHJK,HAD,2012,16812.046689
discards,7BCEFGHJK,HAD,2013,6823.084488
