Measure Names,reg_area_cod,species,year,Measure Values
discards,7BCEFGHJK,ABJ,2012,
landings,7BCEFGHJK,ABJ,2012,1.04
discards,7BCEFGHJK,ABX,2006,
landings,7BCEFGHJK,ABX,2006,0.074
discards,7BCEFGHJK,ABX,2007,
landings,7BCEFGHJK,ABX,2007,0.063
discards,7BCEFGHJK,ABX,2008,
landings,7BCEFGHJK,ABX,2008,0.738
discards,7BCEFGHJK,ABX,2009,
landings,7BCEFGHJK,ABX,2009,0.738
discards,7BCEFGHJK,ABZ,2006,0.029
landings,7BCEFGHJK,ABZ,2006,0
discards,7BCEFGHJK,ABZ,2012,0.008
landings,7BCEFGHJK,ABZ,2012,0
discards,7BCEFGHJK,AFT,2003,0.317
landings,7BCEFGHJK,AFT,2003,0
discards,7BCEFGHJK,AFT,2004,0.573
landings,7BCEFGHJK,AFT,2004,0
discards,7BCEFGHJK,AFT,2005,0.375
landings,7BCEFGHJK,AFT,2005,0
discards,7BCEFGHJK,AFT,2006,0.202
landings,7BCEFGHJK,AFT,2006,0
discards,7BCEFGHJK,AFT,2007,0.33
landings,7BCEFGHJK,AFT,2007,0
discards,7BCEFGHJK,AFT,2008,0.46
landings,7BCEFGHJK,AFT,2008,0
discards,7BCEFGHJK,AFT,2009,0.119
landings,7BCEFGHJK,AFT,2009,0
discards,7BCEFGHJK,AFT,2010,0.033
landings,7BCEFGHJK,AFT,2010,0
discards,7BCEFGHJK,AFT,2012,0.235
landings,7BCEFGHJK,AFT,2012,0
discards,7BCEFGHJK,AFT,2013,0.25
landings,7BCEFGHJK,AFT,2013,0
discards,7BCEFGHJK,AFT,2014,0.341
landings,7BCEFGHJK,AFT,2014,0
discards,7BCEFGHJK,AGN,2003,0
landings,7BCEFGHJK,AGN,2003,0.435
discards,7BCEFGHJK,AGN,2004,0
landings,7BCEFGHJK,AGN,2004,0.481
discards,7BCEFGHJK,AGN,2005,0
landings,7BCEFGHJK,AGN,2005,0.26
discards,7BCEFGHJK,AGN,2006,0
landings,7BCEFGHJK,AGN,2006,0.109
discards,7BCEFGHJK,AGN,2007,0
landings,7BCEFGHJK,AGN,2007,0.308
discards,7BCEFGHJK,AGN,2008,0
landings,7BCEFGHJK,AGN,2008,0.133
discards,7BCEFGHJK,AGN,2009,
landings,7BCEFGHJK,AGN,2009,0.133
discards,7BCEFGHJK,AGN,2014,
landings,7BCEFGHJK,AGN,2014,0.01009
discards,7BCEFGHJK,AGN,2015,
landings,7BCEFGHJK,AGN,2015,0.0564
discards,7BCEFGHJK,ALB,2003,0
landings,7BCEFGHJK,ALB,2003,193.431
discards,7BCEFGHJK,ALB,2004,
landings,7BCEFGHJK,ALB,2004,35.13
discards,7BCEFGHJK,ALB,2007,
landings,7BCEFGHJK,ALB,2007,20.52
discards,7BCEFGHJK,ALB,2008,
landings,7BCEFGHJK,ALB,2008,64.82
discards,7BCEFGHJK,ALB,2009,
landings,7BCEFGHJK,ALB,2009,50.18
discards,7BCEFGHJK,ALB,2010,
landings,7BCEFGHJK,ALB,2010,61.66
discards,7BCEFGHJK,ALB,2011,
landings,7BCEFGHJK,ALB,2011,105.63
discards,7BCEFGHJK,ALB,2012,
landings,7BCEFGHJK,ALB,2012,139.84133
discards,7BCEFGHJK,ALB,2013,
landings,7BCEFGHJK,ALB,2013,404.141
discards,7BCEFGHJK,ALB,2014,
landings,7BCEFGHJK,ALB,2014,0.09745
discards,7BCEFGHJK,ALB,2015,
landings,7BCEFGHJK,ALB,2015,0.10172
discards,7BCEFGHJK,ALC,2003,
landings,7BCEFGHJK,ALC,2003,1.84
discards,7BCEFGHJK,ALC,2004,50.618
landings,7BCEFGHJK,ALC,2004,0
discards,7BCEFGHJK,ALC,2011,
landings,7BCEFGHJK,ALC,2011,15.488
discards,7BCEFGHJK,ALC,2015,
landings,7BCEFGHJK,ALC,2015,5.28
discards,7BCEFGHJK,ALF,2003,0
landings,7BCEFGHJK,ALF,2003,4.439
discards,7BCEFGHJK,ALF,2004,0
landings,7BCEFGHJK,ALF,2004,2.713
discards,7BCEFGHJK,ALF,2005,0
landings,7BCEFGHJK,ALF,2005,0.252
discards,7BCEFGHJK,ALF,2006,0
landings,7BCEFGHJK,ALF,2006,0.174
discards,7BCEFGHJK,ALF,2007,0
landings,7BCEFGHJK,ALF,2007,0.497
discards,7BCEFGHJK,ALF,2008,0
landings,7BCEFGHJK,ALF,2008,0.462
discards,7BCEFGHJK,ALF,2009,0
landings,7BCEFGHJK,ALF,2009,2.186
discards,7BCEFGHJK,ALF,2010,7.172485
landings,7BCEFGHJK,ALF,2010,10.096
discards,7BCEFGHJK,ALF,2011,0.576045
landings,7BCEFGHJK,ALF,2011,7.182
discards,7BCEFGHJK,ALF,2012,0.232683
landings,7BCEFGHJK,ALF,2012,2.5206
discards,7BCEFGHJK,ALF,2013,0.28
landings,7BCEFGHJK,ALF,2013,13.4602
discards,7BCEFGHJK,ALF,2014,
landings,7BCEFGHJK,ALF,2014,10.71185
discards,7BCEFGHJK,ALF,2015,8.66663
landings,7BCEFGHJK,ALF,2015,4.84087
discards,7BCEFGHJK,ALV,2014,
landings,7BCEFGHJK,ALV,2014,2.47916
discards,7BCEFGHJK,ALV,2015,
landings,7BCEFGHJK,ALV,2015,2.97427
discards,7BCEFGHJK,ANE,2003,0.372
landings,7BCEFGHJK,ANE,2003,3.244
discards,7BCEFGHJK,ANE,2004,
landings,7BCEFGHJK,ANE,2004,0.242
discards,7BCEFGHJK,ANE,2005,
landings,7BCEFGHJK,ANE,2005,0.276
discards,7BCEFGHJK,ANE,2006,1.229
landings,7BCEFGHJK,ANE,2006,0
discards,7BCEFGHJK,ANE,2007,1.44
landings,7BCEFGHJK,ANE,2007,18.217
discards,7BCEFGHJK,ANE,2008,0.037
landings,7BCEFGHJK,ANE,2008,0.007
discards,7BCEFGHJK,ANE,2009,
landings,7BCEFGHJK,ANE,2009,15.442
discards,7BCEFGHJK,ANE,2010,0.15
landings,7BCEFGHJK,ANE,2010,26.762
discards,7BCEFGHJK,ANE,2011,
landings,7BCEFGHJK,ANE,2011,0.021
discards,7BCEFGHJK,ANE,2012,0.04
landings,7BCEFGHJK,ANE,2012,3.6418
discards,7BCEFGHJK,ANE,2013,
landings,7BCEFGHJK,ANE,2013,0.044
discards,7BCEFGHJK,ANE,2014,0.198
landings,7BCEFGHJK,ANE,2014,0.049
discards,7BCEFGHJK,ANE,2015,
landings,7BCEFGHJK,ANE,2015,14.764
discards,7BCEFGHJK,ANF,2003,1847.07
landings,7BCEFGHJK,ANF,2003,11584.5147
discards,7BCEFGHJK,ANF,2004,840.168
landings,7BCEFGHJK,ANF,2004,12172.366101
discards,7BCEFGHJK,ANF,2005,1014.923
landings,7BCEFGHJK,ANF,2005,11837.218701
discards,7BCEFGHJK,ANF,2006,229.079
landings,7BCEFGHJK,ANF,2006,12938.5119
discards,7BCEFGHJK,ANF,2007,435.457
landings,7BCEFGHJK,ANF,2007,14096.9611
discards,7BCEFGHJK,ANF,2008,336.42
landings,7BCEFGHJK,ANF,2008,11051.2179
discards,7BCEFGHJK,ANF,2009,1290.333
landings,7BCEFGHJK,ANF,2009,11694.9093
discards,7BCEFGHJK,ANF,2010,983.917445
landings,7BCEFGHJK,ANF,2010,13511.14651
discards,7BCEFGHJK,ANF,2011,1726.370907
landings,7BCEFGHJK,ANF,2011,18348.02639
discards,7BCEFGHJK,ANF,2012,3346.230586
landings,7BCEFGHJK,ANF,2012,17878.53918
discards,7BCEFGHJK,ANF,2013,2577.346238
landings,7BCEFGHJK,ANF,2013,22081.8769
discards,7BCEFGHJK,ANF,2014,2249.718353
landings,7BCEFGHJK,ANF,2014,23209.18649
discards,7BCEFGHJK,ANF,2015,2499.064541
landings,7BCEFGHJK,ANF,2015,23187.04826
