"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Gadus morhua_Adu",1990,1,"All_areas",1204.76563617143,0.307484668641461,370.44696242879
"Gadus morhua_Adu",1991,1,"All_areas",716.84168617393,0.189756051770251,136.025048112694
"Gadus morhua_Adu",1992,1,"All_areas",1011.82770067723,0.213016381930243,215.535875935061
"Gadus morhua_Adu",1993,1,"All_areas",639.383756311618,0.271272278376213,173.447088331394
"Gadus morhua_Adu",1994,1,"All_areas",713.88029262132,0.323644446445368,231.043392133685
"Gadus morhua_Adu",1995,1,"All_areas",917.39664469695,0.224826940274025,206.255480644872
"Gadus morhua_Adu",1996,1,"All_areas",719.103605620049,0.27073136882532,194.683903476739
"Gadus morhua_Adu",1997,1,"All_areas",1308.82295221536,0.173773449283445,227.438678907805
"Gadus morhua_Adu",1998,1,"All_areas",1335.91780186811,0.160829623623226,214.855157266016
"Gadus morhua_Adu",1999,1,"All_areas",944.994100167162,0.188644386126738,178.267831919424
"Gadus morhua_Adu",2000,1,"All_areas",504.916148405694,0.223273304937386,112.734297170795
"Gadus morhua_Adu",2001,1,"All_areas",600.677705796548,0.174229946936577,104.656044806917
"Gadus morhua_Adu",2002,1,"All_areas",1055.8282538976,0.193228361941964,204.015963992678
"Gadus morhua_Adu",2003,1,"All_areas",1861.22061913972,0.16551612307761,308.062021072116
"Gadus morhua_Adu",2004,1,"All_areas",1357.95804056429,0.201892746493257,274.161878432126
"Gadus morhua_Adu",2005,1,"All_areas",1233.44871397925,0.141679864377901,174.754846513676
"Gadus morhua_Adu",2006,1,"All_areas",657.219232764951,0.194510140160133,127.835805081045
"Gadus morhua_Adu",2007,1,"All_areas",1534.10917668489,0.135684465497326,208.154783653032
"Gadus morhua_Adu",2008,1,"All_areas",1584.5907359607,0.158823069459356,251.669564522137
"Gadus morhua_Adu",2009,1,"All_areas",716.791002830708,0.179712811498347,128.816526375426
"Gadus morhua_Adu",2010,1,"All_areas",1401.79084820953,0.105777468114363,148.277886749488
"Gadus morhua_Adu",2011,1,"All_areas",2858.86974891834,0.0950319909229005,271.684084028962
"Gadus morhua_Adu",2012,1,"All_areas",1924.12383168548,0.142840781580369,274.843351975368
"Gadus morhua_Adu",2013,1,"All_areas",574.387929176018,0.194621052158695,111.787983123491
"Gadus morhua_Adu",2014,1,"All_areas",1472.84249064135,0.128149442750496,188.743944434941
"Gadus morhua_Adu",2015,1,"All_areas",674.339942809826,0.160110715617375,107.969050812661
"Gadus morhua_Juv",1990,1,"All_areas",0.998816546127582,1.0718538230196,1.07058533346208
"Gadus morhua_Juv",1991,1,"All_areas",1.6065256912578,0.497777915709737,0.799693010128454
"Gadus morhua_Juv",1992,1,"All_areas",11.7264318433847,0.404466960716504,4.74295424774306
"Gadus morhua_Juv",1993,1,"All_areas",0.408478715141556,0.496459170856632,0.20279300423176
"Gadus morhua_Juv",1994,1,"All_areas",8.27357845793783,0.34685508778268,2.86973278230492
"Gadus morhua_Juv",1995,1,"All_areas",9.5541364774981,0.309628522169123,2.95823315812984
"Gadus morhua_Juv",1996,1,"All_areas",1.70339727010985,0.502697049292463,0.856292781457057
