"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Gadus morhua_Adu",1990,1,"All_areas",2148.04465165762,0.312501973791752,671.268193435824
"Gadus morhua_Adu",1991,1,"All_areas",1422.23206061918,0.200675266429039,285.406797688676
"Gadus morhua_Adu",1992,1,"All_areas",2196.70271979845,0.219983773110465,483.238952703283
"Gadus morhua_Adu",1993,1,"All_areas",3967.75322256707,0.205680147167784,816.088066743045
"Gadus morhua_Adu",1994,1,"All_areas",2844.78551319227,0.271875022847139,773.42612639436
"Gadus morhua_Adu",1995,1,"All_areas",3024.92427976486,0.215079997673834,650.600707055348
"Gadus morhua_Adu",1996,1,"All_areas",2902.36692715581,0.222862599463779,646.829037983643
"Gadus morhua_Adu",1997,1,"All_areas",4572.16548143157,0.166452186345943,761.046940719737
"Gadus morhua_Adu",1998,1,"All_areas",3284.4173684454,0.188551392146412,619.281467210235
"Gadus morhua_Adu",1999,1,"All_areas",1582.530046427,0.229846689243772,363.739291800039
"Gadus morhua_Adu",2000,1,"All_areas",1012.56798425829,0.262422847044661,265.720973255333
"Gadus morhua_Adu",2001,1,"All_areas",1224.28254997228,0.20576480622203,251.914261656058
"Gadus morhua_Adu",2002,1,"All_areas",1577.37522179306,0.23019789930019,363.108462464934
"Gadus morhua_Adu",2003,1,"All_areas",1670.01250882952,0.18895091091323,315.550384779826
"Gadus morhua_Adu",2004,1,"All_areas",1146.57838728384,0.208262439979952,238.78921256401
"Gadus morhua_Adu",2005,1,"All_areas",936.232770815517,0.191442241359394,179.234500079038
"Gadus morhua_Adu",2006,1,"All_areas",1010.94816525136,0.223282903080527,225.727441201256
"Gadus morhua_Adu",2007,1,"All_areas",1561.02513240796,0.170900315261286,266.77968725931
"Gadus morhua_Adu",2008,1,"All_areas",1500.26756491502,0.199315974917565,299.027292338238
"Gadus morhua_Adu",2009,1,"All_areas",1097.63491700734,0.230094404971823,252.559653105101
"Gadus morhua_Adu",2010,1,"All_areas",1509.78939257295,0.134368999567679,202.868890237921
"Gadus morhua_Adu",2011,1,"All_areas",3763.10966867386,0.119858294981875,451.039908717059
"Gadus morhua_Adu",2012,1,"All_areas",3584.67412587071,0.188597353767622,676.060054258479
"Gadus morhua_Adu",2013,1,"All_areas",3516.14142260426,0.213344033410313,750.14779313947
"Gadus morhua_Adu",2014,1,"All_areas",3394.86511403151,0.178565267849168,606.204998398833
"Gadus morhua_Adu",2015,1,"All_areas",2147.81948794744,0.201709991551387,433.236650767782
"Gadus morhua_Juv",1990,1,"All_areas",13.3463814541752,1.03816178297428,13.8557031667214
"Gadus morhua_Juv",1991,1,"All_areas",17.1078985650241,0.516330007085868,8.8333213873032
"Gadus morhua_Juv",1992,1,"All_areas",98.5684932176081,0.479948319179608,47.3077826438576
"Gadus morhua_Juv",1993,1,"All_areas",17.2886508255036,0.448018294476116,7.74563185663522
"Gadus morhua_Juv",1994,1,"All_areas",360.678393276836,0.242109052241023,87.3235039600699
"Gadus morhua_Juv",1995,1,"All_areas",212.89778066697,0.286195808359566,60.9304524359411
"Gadus morhua_Juv",1996,1,"All_areas",92.9624561856359,0.439757482190876,40.8809356704749
"Gadus morhua_Juv",1997,1,"All_areas",96.4087430439553,0.31936604020691,30.7896785072735
"Gadus morhua_Juv",1998,1,"All_areas",31.769191085747,0.527293043818054,16.7516734672409
"Gadus morhua_Juv",1999,1,"All_areas",22.2888135081712,0.404379757924746,9.01314501086408
"Gadus morhua_Juv",2000,1,"All_areas",55.2565149057631,0.351849367506931,19.4419698202301
"Gadus morhua_Juv",2001,1,"All_areas",60.867331247252,0.376800889748146,22.9348645705597
"Gadus morhua_Juv",2002,1,"All_areas",4.39848742760363,0.855215843995593,3.76165613770204
"Gadus morhua_Juv",2003,1,"All_areas",0.254955370798915,1.40305924004742,0.357717488799134
"Gadus morhua_Juv",2004,1,"All_areas",16.9341567292599,0.474734641408399,8.03923082241881
"Gadus morhua_Juv",2005,1,"All_areas",21.879678491626,0.47759162077862,10.4495511129308
